Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
7.543186902999878	0	-0.4286022	0.087410815	-0.25177664	-0.6315052	21.0	0.0	-0.020409629	-0.020409629	-0.02001564	-0.02001564	1008	1008
8.633816957473755	1	-0.4077328	0.08699572	-0.22794247	-0.6927353	21.0	0.0	-0.019415848	-0.019415848	-0.018981215	-0.018981215	1008	2016
9.441225051879883	2	-0.42759013	0.09756391	-0.18849024	-0.69352686	21.0	0.0	-0.020361435	-0.020361435	-0.01979829	-0.01979829	1008	3024
10.298289060592651	3	-0.42796668	0.08214491	-0.24272187	-0.6336349	21.0	0.0	-0.020379366	-0.020379366	-0.019852914	-0.019852914	1008	4032
11.209764003753662	4	-0.42583647	0.085216455	-0.26450554	-0.6259756	21.0	0.0	-0.020277929	-0.020277929	-0.01971146	-0.01971146	1008	5040
12.171015977859497	5	-0.3990589	0.06644573	-0.28886765	-0.56681836	21.0	0.0	-0.019002805	-0.019002805	-0.018237969	-0.018237969	1008	6048
13.188929796218872	6	-0.41801524	0.10190101	-0.17733161	-0.6610401	21.0	0.0	-0.019905487	-0.019905487	-0.01923586	-0.01923586	1008	7056
14.249628067016602	7	-0.40791574	0.09581573	-0.19215626	-0.6444529	21.0	0.0	-0.01942456	-0.01942456	-0.018534448	-0.018534448	1008	8064
15.352467060089111	8	-0.43061927	0.11677968	-0.25359324	-0.7660425	21.0	0.0	-0.02050568	-0.02050568	-0.019475007	-0.019475007	1008	9072
16.509822130203247	9	-0.44912824	0.102508456	-0.21242945	-0.7317894	21.0	0.0	-0.02138706	-0.02138706	-0.020120356	-0.020120356	1008	10080
17.710922956466675	10	-0.42894086	0.102683246	-0.27418724	-0.7521494	21.0	0.0	-0.020425756	-0.020425756	-0.019058822	-0.019058822	1008	11088
18.962335109710693	11	-0.44420162	0.09772299	-0.29717898	-0.67075926	21.0	0.0	-0.02115246	-0.02115246	-0.01979747	-0.01979747	1008	12096
20.260093927383423	12	-0.4399456	0.10256946	-0.2700278	-0.7712003	21.0	0.0	-0.020949792	-0.020949792	-0.019558353	-0.019558353	1008	13104
21.627392768859863	13	-0.51323444	0.10635692	-0.29298058	-0.77823913	21.0	0.0	-0.024439735	-0.024439735	-0.022595834	-0.022595834	1008	14112
23.123861074447632	14	-0.48860487	0.11577043	-0.32004854	-0.760381	21.0	0.0	-0.0232669	-0.0232669	-0.021450622	-0.021450622	1008	15120
24.567449808120728	15	-0.517726	0.11366426	-0.27327755	-0.75578	21.0	0.0	-0.024653621	-0.024653621	-0.022778353	-0.022778353	1008	16128
26.150280952453613	16	-0.5717097	0.11872041	-0.29432794	-0.86201453	21.0	0.0	-0.027224272	-0.027224272	-0.024907313	-0.024907313	1008	17136
27.830814123153687	17	-0.5840458	0.12660983	-0.3299695	-0.8449021	21.0	0.0	-0.027811704	-0.027811704	-0.025481496	-0.025481496	1008	18144
29.601409912109375	18	-0.6494271	0.11057785	-0.48223072	-0.9242958	21.0	0.0	-0.0309251	-0.0309251	-0.028161166	-0.028161166	1008	19152
31.350477933883667	19	0.6406496	8.532241	59.124657	-1.04124	21.0	0.0	0.030507125	0.030507125	0.033078972	0.033078972	1008	20160
33.14217185974121	20	-0.6081193	0.11934363	-0.25779137	-0.83281904	21.0	0.0	-0.028958062	-0.028958062	-0.026395798	-0.026395798	1008	21168
34.99422287940979	21	-0.46839812	1.404582	9.11759	-0.909953	21.0	0.0	-0.022304675	-0.022304675	-0.019442983	-0.019442983	1008	22176
36.88089394569397	22	-0.681025	0.15694839	-0.30283034	-1.0311056	21.0	0.0	-0.032429762	-0.032429762	-0.02943778	-0.02943778	1008	23184
38.8307831287384	23	1.7850355	8.490749	49.169945	-0.96322536	21.0	0.0	0.08500167	0.08500167	0.08825941	0.08825941	1008	24192
40.823062896728516	24	2.8318703	15.049878	79.21102	-1.045257	21.0	0.0	0.134851	0.134851	0.13804716	0.13804716	1008	25200
42.870808839797974	25	1.9828678	8.536541	48.90448	-1.0633689	21.0	0.0	0.09442228	0.09442228	0.09777034	0.09777034	1008	26208
44.9637451171875	26	15.094958	23.503645	79.035416	-0.99149126	21.0	0.0	0.7188075	0.7188075	0.7224642	0.7224642	1008	27216
47.11589193344116	27	17.742052	25.850246	108.76128	-0.89414793	21.0	0.0	0.84485966	0.84485966	0.8488491	0.8488491	1008	28224
49.352784872055054	28	17.777231	24.234554	79.03112	-0.8631275	21.0	0.0	0.84653485	0.84653485	0.85039395	0.85039395	1008	29232
51.64526700973511	29	33.312077	27.913198	98.95088	-0.9045226	21.0	0.0	1.5862892	1.5862892	1.5906131	1.5906131	1008	30240
54.023422956466675	30	33.32294	24.306633	99.006454	-0.81093633	21.0	0.0	1.5868068	1.5868068	1.5911434	1.5911434	1008	31248
56.475565910339355	31	49.690662	27.342318	98.895256	-0.79145324	21.0	0.0	2.366222	2.366222	2.3709726	2.3709726	1008	32256
58.98727893829346	32	53.2039	23.323765	98.75995	-0.73363876	21.0	0.0	2.533519	2.533519	2.5383623	2.5383623	1008	33264
61.55087900161743	33	56.945618	23.331984	109.05437	-0.97762764	21.0	0.0	2.7116961	2.7116961	2.716451	2.716451	1008	34272
64.164146900177	34	59.193848	23.704594	108.49845	9.151301	21.0	0.0	2.8187544	2.8187544	2.8235445	2.8235445	1008	35280
