Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
10.646236181259155	0	-291.01048007342763	-14.67739414451873	44.26296518518407	-196.15990395197343	-403.279384556351	20.0	0.0	252	2520	-284.18657527707256	-14.102266908859605
18.696587085723877	1	-287.6811739747899	-14.620878749461031	49.535608325480055	-199.95096072729876	-461.6433279947207	20.0	0.0	252	5040	-261.4588213770157	-13.246215746184632
25.86538028717041	2	-295.8498049193888	-14.858506748111372	39.225526941161235	-186.25436685942717	-380.5841981766773	20.0	0.0	252	7560	-274.4602353707321	-13.426166370587614
33.04700422286987	3	-287.98237076591494	-14.31852328121763	41.53174561038578	-169.96326160524995	-387.7375018009781	20.0	0.0	252	10080	-296.37510359387795	-15.64003513987979
40.228246212005615	4	-284.1415067210873	-14.213260580016659	43.88827934040162	-183.9423146340427	-376.8679112579509	20.0	0.0	252	12600	-278.87057537471327	-14.499817936147444
47.40364909172058	5	-282.2033559587272	-13.902420789652831	49.58147239712694	-171.93351994959403	-435.2467599713645	20.0	0.0	252	15120	-276.0382469435891	-14.240399950270268
54.599337100982666	6	-274.68695899727135	-13.92256758054638	53.674531933826636	-133.04233099387213	-393.822588934954	20.0	0.0	252	17640	-285.38763961889487	-14.11867553565776
61.790590047836304	7	-280.15186274478003	-14.028025800585901	50.42457252270401	-157.0255211791444	-420.6805915003626	20.0	0.0	252	20160	-296.31227054361324	-15.39198719002686
68.97084331512451	8	-275.9271582266482	-13.716351644514896	45.394341714411034	-156.54206956908567	-412.51709334912357	20.0	0.0	252	22680	-266.0530684360672	-13.614109067448638
76.16352915763855	9	-275.09717227833596	-13.803374193638081	40.70432913017236	-179.23357405376262	-371.71772564429216	20.0	0.0	252	25200	-263.042244666391	-12.07416769712462
83.3438651561737	10	-275.6841855543366	-13.449196024033817	46.9264654367818	-161.86084560743504	-390.8102936319643	20.0	0.0	252	27720	-281.7494152596581	-13.731835994367794
90.52357935905457	11	-264.37764039315164	-12.488989583913552	49.5835890855211	-147.51131610263894	-372.58477643308004	20.0	0.0	252	30240	-263.9718677647989	-12.756971259761832
97.71617722511292	12	-258.0165408450426	-11.865414706532881	49.53894042615577	-136.32177284138817	-365.5101370043108	20.0	0.0	252	32760	-244.57896304747365	-11.496800440191372
104.89890909194946	13	-241.44174590687484	-10.838116835308385	53.14250207529292	-130.99412640035612	-379.1257535762488	20.0	0.0	252	35280	-228.7714484932204	-8.898553470431576
112.09273600578308	14	-236.40869568168156	-10.687339977193952	55.438479769174556	-79.86117238901954	-344.17754628311485	20.0	0.0	252	37800	-214.00195932950976	-8.233773733691885
119.2807891368866	15	-237.66533177328304	-9.972276930864195	56.69017881538136	-133.5779231673172	-375.97683928698234	20.0	0.0	252	40320	-214.04649084415135	-7.4202848641669705
126.46492218971252	16	-220.7669612342776	-8.939397784390861	59.21442312785502	-105.62298628959435	-402.3977644085366	20.0	0.0	252	42840	-203.91069014630452	-8.127792144850337
133.64802622795105	17	-222.17266209885753	-8.851406533846399	53.86880143539835	-108.51196649304299	-368.65165956626686	20.0	0.0	252	45360	-196.44845950232266	-7.845894348819243
140.76377201080322	18	-205.94768335273335	-7.917911381587937	45.53467410679403	-105.50412231837147	-317.408151077427	20.0	0.0	252	47880	-182.11231406113941	-7.198448021677028
147.93483805656433	19	-197.97833677976075	-7.711343520756899	46.59285980511867	-98.26689885637025	-339.71426224044677	20.0	0.0	252	50400	-210.28010582943955	-8.216494984860704
155.12251925468445	20	-186.73307993187228	-6.873945942674351	45.047361445204515	-89.21756743281443	-324.96285027239907	20.0	0.0	252	52920	-191.81210797586843	-6.1891095294478715
162.30821990966797	21	-185.7322231353488	-6.59172687161682	54.12501154310984	-87.02322647570377	-365.114500983687	20.0	0.0	252	55440	-167.55519588604864	-6.126978225878009
169.4158730506897	22	-175.3317963316035	-6.373196190936175	39.82222377684229	-96.75349737124964	-329.3341049404052	20.0	0.0	252	57960	-172.518309180351	-6.471416911046096
176.60107111930847	23	-176.82597228916975	-6.157326612527025	43.4506457699573	-94.9782321333655	-292.17879126393285	20.0	0.0	252	60480	-167.0483869981459	-5.429994530621321
183.77982020378113	24	-172.74854348334483	-5.936622464644875	45.87339471913089	-101.09349368213954	-349.220814058654	20.0	0.0	252	63000	-161.90170822781144	-5.5968145903415545
190.96462225914001	25	-154.74656936578984	-5.422355828410226	41.608962264253755	-77.67005993128542	-278.3803459642632	20.0	0.0	252	65520	-148.35579726146474	-5.2994429170318
198.1461341381073	26	-157.98080737606907	-5.440184123735457	40.153839124428664	-85.66580647341262	-272.4602579481045	20.0	0.0	252	68040	-141.78642158565398	-5.169035790230465
205.34284496307373	27	-149.83886768709544	-5.089091024825956	36.63575875306971	-82.74410502393859	-273.9286144859986	20.0	0.0	252	70560	-138.2772053191711	-5.41914225461149
212.5245292186737	28	-150.4116135249954	-5.118649381144283	47.024831458834015	-71.7834909732652	-319.233252042072	20.0	0.0	252	73080	-139.38421762547202	-5.207096563312035
219.63275718688965	29	-139.86718423642887	-4.90051439315914	43.23456444877377	-71.594806974481	-356.0224175744249	20.0	0.0	252	75600	-137.1552413533992	-4.365919919939328
226.79807591438293	30	-141.97878075956572	-4.552312495373897	43.72631964752205	-73.46300411748281	-285.26654921825707	20.0	0.0	252	78120	-124.436584925126	-3.94333549918523
233.98937916755676	31	-130.7494529078298	-4.218462380988163	34.34892501749844	-78.93695701840969	-247.69754667652182	20.0	0.0	252	80640	-133.0611523040517	-5.343674707452725
241.18945908546448	32	-129.23969519778146	-4.427703013254048	31.777721482481503	-74.66279858907596	-221.69092839610187	20.0	0.0	252	83160	-124.61047302086803	-4.910077219238014
248.35663104057312	33	-125.5286389520289	-4.300925856872842	37.10499213706883	-65.37314421544666	-303.1281293236954	20.0	0.0	252	85680	-133.78974754212226	-3.9058090561062073
255.54911613464355	34	-124.99347115733553	-4.264847107908171	32.8727775021487	-77.35339239263482	-224.36519474550468	20.0	0.0	252	88200	-118.624629272864	-3.4711969955334374
262.7513282299042	35	-128.04271610282333	-4.6809843644978475	44.49440452528241	-70.52701684007063	-302.26077263505795	20.0	0.0	252	90720	-130.72255112089616	-4.641463266440076
269.95065927505493	36	-127.74456694423264	-4.355674821044205	38.3399779179742	-68.78642956305453	-256.33756408591034	20.0	0.0	252	93240	-111.8962207709558	-3.5148017538801724
277.1347951889038	37	-116.39953920370728	-3.8683430871577107	31.847889017039908	-65.21723270942233	-238.3190671993872	20.0	0.0	252	95760	-114.76125428734771	-3.3010062481559523
284.30031418800354	38	-113.80047531939017	-3.900016002737494	27.034063998255913	-62.72519675707409	-195.32347152514623	20.0	0.0	252	98280	-114.72536425741106	-3.288009232609717
291.4670572280884	39	-118.51936443667498	-4.06844995657563	53.66256584738674	-66.39408771105013	-519.3352210817636	20.0	0.0	252	100800	-105.18862903664889	-3.2596463407183722
298.6510422229767	40	-115.55770473245917	-3.8070906146178176	47.537306794331954	-58.258531455964246	-456.0981248904023	20.0	0.0	252	103320	-122.28445425413793	-4.129036894900902
305.8417012691498	41	-110.58937770792585	-3.582073437790897	38.479810556421945	-61.97173422787569	-272.4798978935298	20.0	0.0	252	105840	-98.90330083347065	-3.4623331407985565
313.01567006111145	42	-113.67030431510878	-3.7194482605157972	35.89378826890618	-60.53642793042288	-271.33264807392385	20.0	0.0	252	108360	-115.57616465976552	-3.707604101759611
320.1283919811249	43	-108.85041120682854	-3.507287081224128	38.64132103123997	-59.85992185911796	-274.9746430658811	20.0	0.0	252	110880	-102.33804589334524	-3.653750996110451
327.27175402641296	44	-104.76629622749667	-3.626798542762121	41.196510795145315	-51.63514922526104	-354.6908862436227	20.0	0.0	252	113400	-111.20046670523567	-4.010790645524573
334.47324323654175	45	-98.71787766936346	-3.2731020773509623	33.97851812375732	-56.39493244546929	-315.3427109644745	20.0	0.0	252	115920	-89.11683830603533	-2.708379046189293
341.6691951751709	46	-108.38387419114248	-3.926596056000174	65.07512535724497	-59.625349984541806	-612.7039454111837	20.0	0.0	252	118440	-106.99228386923092	-2.90571228005958
348.84618496894836	47	-100.83707954766187	-3.3707478786567804	33.665982083280014	-57.796086193635325	-243.15356022250702	20.0	0.0	252	120960	-89.37590829331172	-3.5244835376734893
356.01563811302185	48	-95.05336196784639	-3.0982072641811857	31.766795598160765	-43.052730459698594	-258.02653141509387	20.0	0.0	252	123480	-102.84941856638453	-2.883434124148842
363.1487760543823	49	-102.32015361219109	-3.0884098566428184	45.080297461671094	-51.59481714417735	-312.53163282782947	20.0	0.0	252	126000	-92.26232834376346	-3.2482304689848047
370.3096070289612	50	-98.73394086716952	-3.2121213714387364	46.415252178896615	-53.79702531067304	-380.27236897296234	20.0	0.0	252	128520	-86.88384825848424	-2.90103908038245
377.3883032798767	51	-91.62989945590665	-2.8384687863780633	30.83657845728604	-51.3023645682489	-279.99651013895874	20.0	0.0	252	131040	-98.83707611115983	-2.9322981774651713
384.5863301753998	52	-89.01962335246337	-2.744823209493567	27.234429270976577	-55.331633689053675	-172.5361768083833	20.0	0.0	252	133560	-92.60055525562869	-3.1790041903516735
391.9169261455536	53	-94.43508299204355	-3.1786147975919468	54.654360004070604	-45.903366928355815	-552.7686485634717	20.0	0.0	252	136080	-97.88230315894855	-3.0000144865302
399.28109431266785	54	-88.0381168621202	-2.636531226949421	33.91687817835941	-48.20021561525285	-295.6732314085848	20.0	0.0	252	138600	-83.29878829235707	-2.300674167782244
406.58929896354675	55	-86.6674467042794	-2.612823804859308	39.18920827837365	-47.6488514048424	-294.5403776329538	20.0	0.0	252	141120	-82.72471166087975	-2.2752927590968715
413.8735680580139	56	-82.66026564887822	-2.2950274249756406	28.790531953971865	-45.015518066784004	-203.09618301447026	20.0	0.0	252	143640	-86.19876572810871	-2.4272004914107144
421.1182143688202	57	-83.06382701014776	-2.5492717573417676	33.285818734470254	-49.88076318915255	-245.44152174291958	20.0	0.0	252	146160	-100.2921094076179	-3.7903253237165124
428.32487201690674	58	-86.03461846231372	-2.638128632043735	39.5241783758481	-42.337959375795506	-311.7539551946417	20.0	0.0	252	148680	-104.13957928301276	-4.277877601738656
435.5020990371704	59	-81.68968656823883	-2.5490114829466393	35.01414585070869	-44.342612023112736	-262.2360815740951	20.0	0.0	252	151200	-92.70430531000174	-2.2133971684817775
442.672324180603	60	-80.59240544628489	-2.3144339179826496	33.41588203120998	-36.89531832726018	-291.50649086549896	20.0	0.0	252	153720	-84.8558221029172	-2.068865336510306
449.8501760959625	61	-81.15488304512088	-2.4894181724879303	39.47997326993564	-41.088834764997834	-333.03824501286914	20.0	0.0	252	156240	-78.14009906535782	-2.6779731074007653
457.0185852050781	62	-79.82604822031178	-2.1584723793092744	30.446387575775884	-45.67115106333451	-235.59571186363738	20.0	0.0	252	158760	-78.29843765749096	-2.2531091381262303
464.20284605026245	63	-75.5005729556817	-2.4591278933850105	31.78584090021204	-43.70489662406019	-339.03722516452666	20.0	0.0	252	161280	-67.65680306146318	-2.1462226779464757
471.3995041847229	64	-80.3281785352342	-2.4875931906602853	42.99136653675006	-40.201491842089716	-333.8942646631019	20.0	0.0	252	163800	-86.05534763789511	-2.2435261368242565
478.58003997802734	65	-89.34892159100679	-3.1412858824987113	79.86204405217879	-42.6465873072535	-641.8728551964543	20.0	0.0	252	166320	-63.94976765327804	-2.0213130925392444
485.7635750770569	66	-85.44010217806772	-2.7705892865123967	68.9178010986508	-39.52109863511733	-511.24958813871444	20.0	0.0	252	168840	-76.78885595210348	-2.167987286948152
492.94184136390686	67	-83.83304412985008	-2.777115799446375	74.68480470208065	-38.90208591203426	-633.9699887023494	20.0	0.0	252	171360	-86.51140083315947	-3.4123187801014545
500.2731840610504	68	-73.42588021245868	-2.0513000041754488	29.855234220068276	-40.60702743634517	-264.46644930765433	20.0	0.0	252	173880	-61.842433266216084	-1.7536496156043366
507.6695091724396	69	-77.9326677251429	-2.533667568353071	67.03024043470596	-38.849395130983474	-668.2411656337796	20.0	0.0	252	176400	-70.13543377417092	-2.289921067208359
514.9209260940552	70	-73.22212504752946	-2.1526844045830535	33.69698638540978	-41.934538521501445	-324.34761362785224	20.0	0.0	252	178920	-69.06627663488437	-1.896269636124795
522.2868990898132	71	-73.93767932413621	-2.019200180080735	36.920511582958646	-40.164341960242396	-299.0785155775534	20.0	0.0	252	181440	-66.60728709277146	-2.067274897093482
529.7844521999359	72	-69.33001438239445	-1.9870017129421522	24.840197115278055	-41.87689327019622	-224.25370795377827	20.0	0.0	252	183960	-60.126176586264855	-2.128967654463352
536.9723391532898	73	-76.94360233014413	-2.293284935449878	44.66713763133649	-41.30939871151417	-335.44030977375326	20.0	0.0	252	186480	-68.18458327469666	-1.7812949595881784
544.1489460468292	74	-71.39596663489796	-2.0338461152011655	33.578445226308986	-40.35205628696617	-288.2982387713711	20.0	0.0	252	189000	-75.92119466795377	-1.8790569344690555
551.3257012367249	75	-75.82360629603197	-2.199037353169993	37.18599352355887	-43.30667863387495	-286.30571433316777	20.0	0.0	252	191520	-68.39739350953532	-2.078264825768692
558.5100481510162	76	-66.52925190528529	-1.9668751164981157	21.66454947507309	-33.81305830401661	-184.32798717313105	20.0	0.0	252	194040	-72.05535208272705	-1.947244989843932
