Baseline Loss	Loss	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.7199216	-0.08086662	13.6652250289917	0	-213.28346	53.084724	-116.23993	-362.401	151.0	0.0	10117	10117
1.7183071	-0.10330125	20.822680234909058	1	-125.29177	36.6409	-27.704914	-230.94823	151.0	0.0	10117	20234
1.3346815	-0.11537228	27.618948936462402	2	-117.48765	37.452377	-51.705826	-252.09442	151.0	0.0	10117	30351
1.1470389	-0.09771046	34.39648485183716	3	-97.76336	30.570951	-29.33396	-159.28366	151.0	0.0	10117	40468
1.1062626	-0.05587513	41.17479109764099	4	-101.238365	34.266933	-25.834831	-180.74759	151.0	0.0	10117	50585
1.0952054	-0.08330162	47.936442852020264	5	-91.6439	31.21588	-23.941587	-191.71562	151.0	0.0	10117	60702
1.0460392	-0.087338276	54.74866485595703	6	-82.51463	30.991964	-11.498179	-179.54694	151.0	0.0	10117	70819
0.9982395	-0.09820371	61.52176308631897	7	-75.25221	33.3945	-6.6867433	-201.83055	151.0	0.0	10117	80936
1.0086579	-0.11141348	68.37425112724304	8	-78.30238	37.86454	-5.4823456	-226.58235	151.0	0.0	10117	91053
1.0162605	-0.11565966	75.15297484397888	9	-71.00422	34.20499	9.186828	-168.54976	151.0	0.0	10117	101170
0.9980168	-0.11774072	81.99685621261597	10	-68.56007	31.599218	-0.82599354	-164.1928	151.0	0.0	10117	111287
0.95694286	-0.11553508	88.76783394813538	11	-58.79021	25.36172	4.1682453	-126.031654	151.0	0.0	10117	121404
0.93526465	-0.07187676	95.56218719482422	12	-63.55017	30.928503	16.25051	-130.21442	151.0	0.0	10117	131521
0.9474556	-0.109030366	102.43990206718445	13	-55.32797	25.933758	-2.9841042	-115.24177	151.0	0.0	10117	141638
0.932824	-0.09531905	109.29201602935791	14	-48.56181	27.55331	16.702608	-123.98369	151.0	0.0	10117	151755
0.91760236	-0.11159128	116.11569595336914	15	-44.277233	21.503056	-7.062808	-96.98836	151.0	0.0	10117	161872
0.9010378	-0.12735012	122.92675995826721	16	-39.955173	20.229963	20.583172	-88.34476	151.0	0.0	10117	171989
0.89125794	-0.11669671	129.80319905281067	17	-45.466778	18.262804	-0.33942223	-91.13364	151.0	0.0	10117	182106
0.88597286	-0.112869106	136.5976037979126	18	-44.63203	18.927488	-3.180849	-95.41756	151.0	0.0	10117	192223
0.89321977	-0.09494365	143.4253990650177	19	-46.70841	20.771952	6.942358	-114.16611	151.0	0.0	10117	202340
0.8711671	-0.09285253	150.20402789115906	20	-44.8469	18.554789	-3.2464333	-100.72706	151.0	0.0	10117	212457
0.83041257	-0.083874434	157.00939011573792	21	-36.003082	21.691837	23.209957	-81.98027	151.0	0.0	10117	222574
0.8309944	-0.10380192	163.8412320613861	22	-38.29917	24.910906	14.06263	-123.83154	151.0	0.0	10117	232691
0.82082176	-0.08231633	170.61220002174377	23	-35.17387	23.985952	17.21557	-85.384636	151.0	0.0	10117	242808
0.8168865	-0.11481168	177.40966892242432	24	-27.295591	21.955387	16.323303	-67.93469	151.0	0.0	10117	252925
0.787936	-0.057340577	184.18866896629333	25	-20.346184	21.57615	36.599068	-74.40407	151.0	0.0	10117	263042
0.7746407	-0.103729986	191.0300419330597	26	-20.762005	20.068356	35.188515	-74.18332	151.0	0.0	10117	273159
