,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-158.63325144941285,39.612353846701815,-239.70529178874168,-100.73049387438655,,
1,0,-259.6864213331383,182.85713450063153,-563.6073030038508,128.6432337499249,12.716536521911621,0.11718547344207764
2,1,-134.37624747681755,36.24858439266891,-204.6292213342112,-91.32018462418779,22.460887908935547,0.06780321151018143
3,2,-112.15448064014686,30.89917335995446,-166.4860478754054,-42.01361308437522,0.06680513918399811,0.02452491968870163
4,3,-105.49168550541808,13.523332346496847,-126.2123667522237,-83.55283278639033,0.0330989807844162,0.01653727889060974
5,4,-74.47635181451219,11.672227760209571,-94.31479844665898,-54.86463919836713,0.01889224350452423,0.015193059109151363
6,5,-48.773222357214514,19.24834476451494,-90.72365132698535,-16.947625147972786,0.012672332115471363,0.010500660166144371
7,6,-5.474243726108485,23.9402728333624,-47.83825908449023,31.54532580129877,0.010007983073592186,0.010468118824064732
8,7,-1.6413792426170482,35.35711373233677,-46.25225426180163,86.78507618785441,0.011994117870926857,0.006707954220473766
9,8,4.834808427013746,16.57845952369706,-12.03705852442339,48.405707909839435,0.008370709605515003,0.007795508485287428
10,9,-13.996190257682576,18.679163469425298,-36.082612939114114,13.692266297082778,0.007379686925560236,0.011144871823489666
11,10,25.066556250469773,27.825817008980586,-18.20844900216399,69.49794017289695,0.006782694719731808,0.005200136918574572
