Iteration	MeanRewardFor100Episodes	BestMeanEpisodeReward	Episodes	TimeSpent
60000	-20.328125	-inf	64	None
70000	-20.333333333333332	-inf	75	0.9254199624061584
80000	-20.305882352941175	-inf	85	0.9195881366729737
90000	-20.329896907216494	-inf	97	0.9215064287185669
100000	-20.37	-20.35	108	0.9209129611651102
110000	-20.32	-20.31	119	0.9240311503410339
120000	-20.27	-20.26	129	0.9492093801498414
130000	-20.25	-20.23	141	0.9308275659879048
140000	-20.34	-20.23	153	0.9291560808817546
150000	-20.38	-20.23	164	0.9333597381909688
160000	-20.38	-20.23	175	0.9504582285881042
170000	-20.42	-20.23	186	0.9428554177284241
180000	-20.41	-20.23	198	0.9338503956794739
190000	-20.38	-20.23	209	0.9505013982454936
200000	-20.43	-20.23	220	0.9823335170745849
210000	-20.52	-20.23	232	0.9530149499575297
220000	-20.54	-20.23	244	0.9378917535146077
230000	-20.55	-20.23	256	0.9336445132891337
240000	-20.57	-20.23	267	0.9365149339040121
250000	-20.6	-20.23	279	0.9378782987594605
260000	-20.62	-20.23	290	0.9415481487909952
270000	-20.58	-20.23	302	0.9381425301233928
280000	-20.6	-20.23	314	0.9402800679206849
290000	-20.58	-20.23	325	0.9444985310236613
300000	-20.54	-20.23	336	0.9434085488319397
310000	-20.53	-20.23	348	0.9731879512468974
320000	-20.55	-20.23	359	0.9519027352333069
330000	-20.49	-20.23	371	0.9486262480417887
340000	-20.5	-20.23	382	0.9496373971303304
350000	-20.54	-20.23	394	0.9524053692817688
360000	-20.53	-20.23	405	0.9507928013801574
370000	-20.56	-20.23	417	0.9585067510604859
380000	-20.53	-20.23	428	0.9571323156356811
390000	-20.54	-20.23	440	0.9556977828343709
400000	-20.56	-20.23	451	0.9575374960899353
410000	-20.52	-20.23	463	0.9604304472605387
420000	-20.55	-20.23	475	0.9601085027058919
430000	-20.55	-20.23	486	0.9655974507331848
440000	-20.53	-20.23	498	0.964055331548055
450000	-20.55	-20.23	509	0.9673062324523926
460000	-20.55	-20.23	521	0.9980765660603841
470000	-20.57	-20.23	533	0.9703054348627727
480000	-20.51	-20.23	544	0.9703484813372294
490000	-20.54	-20.23	556	0.9726817687352498
500000	-20.59	-20.23	569	0.973892617225647
510000	-20.54	-20.23	580	0.976758333047231
520000	-20.56	-20.23	592	0.9836320360501607
530000	-20.53	-20.23	604	0.9767829855283101
540000	-20.56	-20.23	616	0.9833907683690389
550000	-20.5	-20.23	627	0.980238668123881
560000	-20.55	-20.23	639	0.9858525991439819
570000	-20.56	-20.23	651	0.986243200302124
580000	-20.55	-20.23	663	0.9876219868659973
590000	-20.56	-20.23	675	0.9880666971206665
600000	-20.59	-20.23	687	0.9945015192031861
610000	-20.58	-20.23	699	0.9930400967597961
620000	-20.61	-20.23	710	0.9955762624740601
630000	-20.63	-20.23	723	0.997053349018097
640000	-20.7	-20.23	735	1.0254555503527323
650000	-20.69	-20.23	747	0.9969621658325195
660000	-20.68	-20.23	759	0.998709479967753
670000	-20.71	-20.23	771	1.0021596153577168
680000	-20.71	-20.23	783	1.0034583330154419
690000	-20.71	-20.23	795	1.0054700175921123
700000	-20.71	-20.23	807	1.007852820555369
710000	-20.71	-20.23	819	1.0095160007476807
720000	-20.74	-20.23	831	1.01076420545578
730000	-20.72	-20.23	843	1.0125779628753662
740000	-20.77	-20.23	855	1.0115711490313213
750000	-20.73	-20.23	867	1.016719635327657
760000	-20.7	-20.23	879	1.0144665678342184
770000	-20.67	-20.23	891	1.0159834146499633
780000	-20.72	-20.23	904	1.0193569660186768
790000	-20.74	-20.23	916	1.0198122660319011
800000	-20.72	-20.23	928	1.0223971327145895
810000	-20.72	-20.23	940	1.0217790524164836
820000	-20.72	-20.23	953	1.0268795847892762
830000	-20.73	-20.23	965	1.0277922034263611
840000	-20.75	-20.23	977	1.030107851823171
850000	-20.78	-20.23	989	1.0333767692248026
860000	-20.75	-20.23	1001	1.0543821493784586
870000	-20.73	-20.23	1013	1.0318736632664998
880000	-20.73	-20.23	1025	1.031742799282074
890000	-20.73	-20.23	1038	1.0351560831069946
900000	-20.73	-20.23	1050	1.0380475878715516
910000	-20.76	-20.23	1062	1.0355058828989665
920000	-20.74	-20.23	1074	1.0436336159706117
930000	-20.73	-20.23	1086	1.0433311820030213
940000	-20.75	-20.23	1099	1.042540999253591
950000	-20.77	-20.23	1111	1.045499614874522
960000	-20.81	-20.23	1124	1.043048616250356
970000	-20.81	-20.23	1136	1.0498015999794006
980000	-20.8	-20.23	1148	1.0501089851061503
990000	-20.79	-20.23	1160	1.051324148972829
1000000	-20.77	-20.23	1172	1.05191703637441
1010000	-20.8	-20.23	1184	1.0508422692616781
1020000	-20.79	-20.23	1197	1.0500437180201212
1030000	-20.77	-20.23	1209	1.050738533337911
1040000	-20.78	-20.23	1222	1.053804385662079
1050000	-20.77	-20.23	1234	1.0516933838526408
1060000	-20.79	-20.23	1246	1.0510540803273518
1070000	-20.8	-20.23	1259	1.0532345692316691
1080000	-20.83	-20.23	1271	1.0530051827430724
1090000	-20.81	-20.23	1283	1.0518029808998108
1100000	-20.82	-20.23	1295	1.0539641658465067
1110000	-20.84	-20.23	1307	1.053368584314982
1120000	-20.83	-20.23	1319	1.053428832689921
1130000	-20.81	-20.23	1331	1.0526693344116211
1140000	-20.81	-20.23	1344	1.0533055663108826
1150000	-20.78	-20.23	1356	1.0524741848309835
1160000	-20.79	-20.23	1368	1.0532541195551555
1170000	-20.8	-20.23	1381	1.053588835398356
1180000	-20.8	-20.23	1393	1.0531247973442077
1190000	-20.79	-20.23	1406	1.0530846158663432
1200000	-20.79	-20.23	1418	1.0519722143809
1210000	-20.81	-20.23	1430	1.0547903656959534
1220000	-20.81	-20.23	1443	1.0518326997756957
1230000	-20.83	-20.23	1455	1.0552632848421732
1240000	-20.81	-20.23	1467	1.0511800209681192
1250000	-20.79	-20.23	1479	1.0544683814048768
1260000	-20.8	-20.23	1491	1.063859717051188
1270000	-20.78	-20.23	1503	1.076305103302002
1280000	-20.78	-20.23	1516	1.071539549032847
1290000	-20.79	-20.23	1528	1.067970867951711
1300000	-20.8	-20.23	1541	1.0667529026667277
1310000	-20.82	-20.23	1553	1.0653166135152181
1320000	-20.84	-20.23	1566	1.0612911144892374
1330000	-20.86	-20.23	1578	1.0575778206189475
1340000	-20.86	-20.23	1591	1.064473032951355
1350000	-20.89	-20.23	1603	1.060839867591858
1360000	-20.87	-20.23	1615	1.064851415157318
1370000	-20.83	-20.23	1627	1.0623076995213827
1380000	-20.85	-20.23	1640	1.0695775469144186
1390000	-20.82	-20.23	1652	1.092492651939392
1400000	-20.83	-20.23	1665	1.092121966679891
1410000	-20.82	-20.23	1677	1.066575014591217
1420000	-20.81	-20.23	1689	1.0652547518412272
1430000	-20.82	-20.23	1702	1.0655991156895956
1440000	-20.84	-20.23	1714	1.0696106155713399
1450000	-20.85	-20.23	1726	1.065233333905538
1460000	-20.81	-20.23	1738	1.0682659506797791
1470000	-20.8	-20.23	1751	1.0678868810335795
1480000	-20.78	-20.23	1763	1.07258859872818
1490000	-20.77	-20.23	1776	1.0757195472717285
1500000	-20.79	-20.23	1789	1.0640263358751934
1510000	-20.79	-20.23	1801	1.0678946495056152
1520000	-20.79	-20.23	1813	1.0644493341445922
1530000	-20.82	-20.23	1825	1.0672043641408284
1540000	-20.86	-20.23	1837	1.0664232651392618
1550000	-20.87	-20.23	1850	1.0602791706720989
1560000	-20.86	-20.23	1862	1.0651335875193277
1570000	-20.85	-20.23	1874	1.065259285767873
1580000	-20.89	-20.23	1886	1.0645066022872924
1590000	-20.83	-20.23	1899	1.063319746653239
1600000	-20.84	-20.23	1911	1.069197420279185
1610000	-20.82	-20.23	1924	1.0712467034657795
1620000	-20.81	-20.23	1936	1.0710479140281677
1630000	-20.83	-20.23	1949	1.065014616648356
1640000	-20.85	-20.23	1961	1.0657953023910522
1650000	-20.86	-20.23	1973	1.0663557966550192
1660000	-20.85	-20.23	1986	1.0712903618812561
1670000	-20.87	-20.23	1998	1.0753479838371276
1680000	-20.89	-20.23	2011	1.1115788340568542
1690000	-20.91	-20.23	2023	1.0804434458414713
1700000	-20.91	-20.23	2036	1.0594079971313477
1710000	-20.92	-20.23	2048	1.0612594882647197
1720000	-20.91	-20.23	2061	1.0742193500200907
1730000	-20.91	-20.23	2073	1.067544412612915
1740000	-20.91	-20.23	2085	1.0636120200157166
