Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
8.490164995193481	0	-177.1255117148287	-9.999041799904498	70.17963741096699	-28.73747764263104	-394.3638152399785	20.0	0.0	1100	10100	-184.70104790676234	-9.688849342448183
16.05643391609192	1	-168.5001757817018	-9.586003423286474	64.62623921340492	-35.14681204725311	-336.6725003168038	20.0	0.0	1100	20200	-162.2700288524159	-9.217608921265517
23.11149311065674	2	-171.91142322893955	-9.334713127189893	64.99622672451876	-35.077299115628406	-358.2447226946491	20.0	0.0	1100	30300	-151.2739620234937	-8.814297150489477
30.14581799507141	3	-169.87282313942865	-9.462021367309719	67.22258248659797	-27.492133997446363	-347.57873244230353	20.0	0.0	1100	40400	-170.16379966772232	-8.708911448663128
37.20721983909607	4	-166.98533425194967	-9.10826501167075	63.51695154163786	-35.58063892474645	-389.4506102548728	20.0	0.0	1100	50500	-148.37804062245758	-7.870753735842283
44.29902005195618	5	-153.17438639494574	-8.593688370432242	65.52836314103929	-32.729705494734304	-372.37919730439296	20.0	0.0	1100	60600	-184.00023272112765	-10.084099090070602
51.38252091407776	6	-158.3726376188083	-8.756964197977135	67.351549042164	-44.6761073703976	-365.25760512949915	20.0	0.0	1100	70700	-176.0545449589831	-9.795009850299632
58.521848917007446	7	-162.37550399049405	-9.109987702274298	69.61008277900461	-35.205804336663746	-368.4194280464542	20.0	0.0	1100	80800	-177.71635607402382	-9.681157583389977
65.535964012146	8	-168.43191001536547	-9.562723157143749	68.75246199987481	-40.338447046040834	-362.14035709728125	20.0	0.0	1100	90900	-198.02731839804727	-10.091766020002481
72.57760000228882	9	-161.04734314991148	-9.0398703968256	68.13196626165127	-35.09276291547336	-394.48892541212854	20.0	0.0	1100	101000	-180.72243011167433	-9.554047197762177
79.59778714179993	10	-166.34541952864848	-9.504984054783732	68.5798798679532	-31.664516895205235	-362.5717054040828	20.0	0.0	1100	111100	-177.13764111433912	-9.396568663325379
86.6316499710083	11	-167.32107097907848	-9.340083940837458	69.31841481916503	-32.46944568920361	-386.95662230892754	20.0	0.0	1100	121200	-181.61332260012048	-9.035769420991308
93.64250683784485	12	-162.8375030609771	-9.19352961760926	68.2737107360792	-35.83114593313215	-369.09853773747676	20.0	0.0	1100	131300	-179.42166475086654	-10.478475369762554
100.67097806930542	13	-156.61720631204133	-9.095746230222245	69.3079881524063	-27.638954595569157	-375.6915278921786	20.0	0.0	1100	141400	-186.31038438662154	-9.64782066442928
107.68097615242004	14	-147.5930935297474	-8.601245309749192	68.53886273743183	-35.414730652230226	-331.81943772732996	20.0	0.0	1100	151500	-158.57451691025562	-8.64833896115723
114.7563807964325	15	-162.933101879451	-9.641975457118878	74.78987686137853	-38.34674875720516	-458.86940691364345	20.0	0.0	1100	161600	-182.28637865365658	-10.341913605516028
121.77040410041809	16	-169.40509974613678	-9.82811347378853	74.3154840417937	-33.37119801792642	-378.5469655624155	20.0	0.0	1100	171700	-172.37155661539043	-9.613758528968859
128.80248284339905	17	-148.7313690856421	-8.808050054884824	72.97361697450748	-31.634422839595555	-357.5006668507235	20.0	0.0	1100	181800	-193.34838549138075	-9.882049006957285
135.87520098686218	18	-170.3528272407717	-10.044767402609828	75.87480554073419	-47.71638696248424	-403.4519089035116	20.0	0.0	1100	191900	-148.15576205337618	-8.2821676794331
142.90359497070312	19	-163.09087045383558	-9.587387706813873	74.46335054103002	-28.59572135489394	-406.12644975063955	20.0	0.0	1100	202000	-187.97615527344277	-10.052491244804294
149.9593861103058	20	-173.2515309003821	-10.287063123067682	81.39244712610002	-40.48195622825516	-400.8587512907187	20.0	0.0	1100	212100	-173.93480198482524	-9.654780757437836
157.000807762146	21	-161.14043399360534	-9.531828806397952	72.06896449492669	-34.025850040286414	-411.06851713209846	20.0	0.0	1100	222200	-170.33784268218488	-9.263966290158654
164.05873203277588	22	-165.74911553778477	-10.15342849944826	81.59235642722182	-39.4562892008471	-474.49361628693623	20.0	0.0	1100	232300	-201.70656385032564	-10.139874257928366
171.31670808792114	23	-160.9946237871573	-9.692016265767434	78.0618150976862	-39.96495855169328	-397.5126705905176	20.0	0.0	1100	242400	-198.0364504933942	-9.900818983693819
178.5878200531006	24	-161.36612634383187	-9.624670907028603	78.3830831103824	-36.46814446622491	-379.44113879906246	20.0	0.0	1100	252500	-185.86244148989425	-8.935891885178306
185.92432188987732	25	-162.33341530836012	-9.83145475732541	76.17376782018238	-36.78456364789135	-492.1627955187813	20.0	0.0	1100	262600	-182.15532428805878	-9.303270496362325
193.23187708854675	26	-177.60016069890267	-10.735727211615421	79.97329746748247	-41.20539270756206	-410.29501383244553	20.0	0.0	1100	272700	-179.71066448513614	-8.905724338630172
200.66616296768188	27	-169.85423788789262	-10.172386243626931	82.29338198772614	-43.64655011499394	-429.4970127765167	20.0	0.0	1100	282800	-170.774030046118	-8.832300208620095
208.03925609588623	28	-166.69670269807602	-9.872632595749979	81.51037864953936	-39.644134976176346	-433.721746177019	20.0	0.0	1100	292900	-206.41769606102096	-11.26553494299828
215.8243818283081	29	-166.06428018741357	-9.827151421787239	79.07223982647571	-38.04992065423068	-422.71947435276786	20.0	0.0	1100	303000	-179.27420345476233	-9.884090890462788
223.4103980064392	30	-173.02770863660328	-10.354473092800136	81.15632801483477	-31.39668274193405	-407.6997928271909	20.0	0.0	1100	313100	-194.72175400305042	-10.57662189153537
231.04909992218018	31	-173.48013895019488	-10.602911041934924	86.50138129540338	-35.14871634479536	-466.84293287112007	20.0	0.0	1100	323200	-193.81348494865287	-10.366648035424456
238.83986806869507	32	-172.37085056625838	-10.901268890156688	84.8322491415321	-39.182129650230976	-457.2382162484794	20.0	0.0	1100	333300	-165.8064724636966	-9.074144348420894
246.4958369731903	33	-181.2846722035168	-11.2824015255195	88.59818202341124	-1.5552531931542948	-470.6564068143084	19.955555555555556	0.893322277432968	1100	343400	-186.902118197359	-9.847992846758512
254.26486015319824	34	-167.0982645522206	-10.44410871847187	79.0452778087914	-49.59564364347616	-428.64638997205026	20.0	0.0	1100	353500	-185.63865433371495	-9.602805956997058
261.93129897117615	35	-172.7480960894963	-11.037581227803061	82.19060716866856	-34.04012386712015	-475.642161105327	20.0	0.0	1100	363600	-187.8386421843489	-9.533253796151882
269.3187470436096	36	-161.28349028834185	-10.04617370233563	87.63679374003719	-31.520044236870802	-453.23292155432085	20.0	0.0	1100	373700	-166.5352624081653	-8.959257097583942
276.973571062088	37	-163.44296605654776	-9.76317802671081	78.81125274350487	-44.02574139537346	-398.4056515490593	20.0	0.0	1100	383800	-208.337757184896	-10.127863680277303
284.56579399108887	38	-174.916358437289	-10.92271187261113	82.40623498104411	-40.055786685155475	-456.6425037351726	20.0	0.0	1100	393900	-172.76371214486466	-9.393307085102775
292.0362460613251	39	-161.62983184269302	-9.946499224880357	85.27185415229235	-38.54394250559543	-414.378004408153	19.992574257425744	0.14907074183082727	1100	404000	-190.80104866607925	-9.6806995823445
299.86179184913635	40	-175.26928101045013	-11.108730708109414	85.38977500564184	-45.33800809636155	-473.52122683246455	20.0	0.0	1100	414100	-186.15780574542646	-9.903261573727777
307.5843529701233	41	-169.24364186547075	-10.437706194075224	88.72519220942692	-43.15522713916108	-444.0952918406068	20.0	0.0	1100	424200	-213.04875450953787	-10.715800749939515
314.9722249507904	42	-167.81039368158847	-10.183025208051044	83.8550633650783	-41.36879958733409	-474.03663365409943	20.0	0.0	1100	434300	-201.28469543049107	-10.982151052876658
322.5036520957947	43	-151.7816429373885	-9.125193325956541	79.86829549112593	-34.31227552321949	-484.445387008335	20.0	0.0	1100	444400	-191.24441984929956	-9.924739330871496
329.9008860588074	44	-161.34830075556772	-9.845808127364743	81.86548043117833	-37.56251673602626	-437.978013080778	20.0	0.0	1100	454500	-183.50909469079932	-9.025452249908783
