,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-165.7006815425788,40.00863235237419,-251.71490429100328,-100.35595596900231,,
1,0,-428.2115319170283,139.89024624241446,-676.766118533266,-201.18427938985997,15.387201309204102,0.13842786848545074
2,1,-164.5787489016953,54.15025864616792,-235.91320987322786,-51.88524011986754,10.678050994873047,0.04831283167004585
3,2,-55.18292674054819,24.543727629052587,-85.86794130034151,-4.912116769762925,0.11718432605266571,0.02792501635849476
4,3,-8.500867233228046,37.301696751522634,-59.529388820323064,72.68008812569208,0.031163543462753296,0.010553795844316483
5,4,134.6784523317257,26.949872680031405,86.31895405210892,165.8120603283469,0.020502900704741478,0.015078336000442505
6,5,87.07837914905221,38.66398252001834,34.049477684443055,151.87976587604538,0.013816614635288715,0.011957197450101376
7,6,97.54374332058734,36.83047584608253,34.091953666903926,142.31777274073576,0.009848248213529587,0.007316345814615488
8,7,196.65078622197123,41.29974477739763,147.63942657116968,287.7689516815982,0.011339770630002022,0.004414652939885855
9,8,269.9914834457754,44.39214469867555,186.12087470898544,344.6097013886863,0.006578533444553614,0.009321067482233047
10,9,237.72829610616296,68.82286113829541,127.23073337209208,350.820726597947,0.008086202666163445,0.007902600802481174
11,10,248.76678480970673,63.24444969419435,97.06709344394184,327.4692036535085,0.0062391445972025394,0.007467690389603376
