,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-166.55757096264378,19.61225649135726,-212.87255419990092,-149.0593634944787,,
1,0,-297.66388625342626,132.44163656544006,-472.4325355655758,-71.97710462481575,13.685165405273438,0.12800121307373047
2,1,-174.35943879617565,28.451574156166085,-220.58020959049833,-117.77512815678014,14.9817476272583,0.06679143011569977
3,2,-110.54381575815319,23.973307241006722,-152.0190457465417,-78.05456903364752,0.05964593216776848,0.028605757281184196
4,3,-5.414169225774609,12.127943185033773,-21.730499433664814,9.326626649782131,0.0325222983956337,0.03825651854276657
5,4,94.94831396517819,24.01624126147537,55.75336084090536,123.62947401774973,0.024203171953558922,0.01850745640695095
6,5,209.5062826032306,25.94551024708364,178.20424819931372,260.8762244824701,0.011989787220954895,0.012955094687640667
7,6,205.66100742692615,44.026532028769275,130.17002416986372,263.82220156306744,0.011407069861888885,0.009254327043890953
8,7,281.09688156434714,25.41118822273146,239.4959127375457,324.22806479168355,0.01043793000280857,0.005689582787454128
9,8,364.3094934623578,42.95830808187854,272.564795394371,426.11923970382156,0.009580157697200775,0.006776222959160805
10,9,410.1819842277155,30.646754917397892,358.0769361076609,456.1127057324123,0.009469928219914436,0.006632734555751085
11,10,247.7933564707586,41.801555077090235,182.0739818019179,340.93119381827285,0.006488367915153503,0.005568237509578466
