,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-148.2784811552264,23.072954375594527,-194.54070741336847,-125.42687868924202,,
1,0,-159.55392839782186,37.869019891060375,-222.7182404948578,-105.10719592538327,12.81591796875,0.11370516568422318
2,1,-152.569509348762,27.61906411108274,-198.8516944619561,-116.38263999727009,0.12218987941741943,0.015597113408148289
3,2,-167.43378790311436,36.43658262571807,-215.88556460041934,-110.66463861029796,0.01526870857924223,0.005967766512185335
4,3,-150.10996265923845,28.92579002090383,-194.17119449085124,-80.03329611353618,0.005975294858217239,0.006339757237583399
5,4,-156.3910824452226,35.467871488357005,-225.4069148760659,-99.73653164647754,0.004721407778561115,0.0031030806712806225
6,5,-156.45550934572756,22.74882970663193,-194.42260712203145,-124.31053384698428,0.0038945681881159544,0.002355436095967889
7,6,-144.31504956630266,26.948179451077273,-178.41772988014904,-92.76263153105234,0.0033748082350939512,0.002524251351132989
8,7,-134.10811314977198,23.686409188674283,-165.06566304907295,-80.10239450510674,0.002627764595672488,0.0023956443183124065
9,8,-160.63463190447766,42.22524490160869,-240.80712333518738,-65.13673476507253,0.003175552934408188,0.0024211828131228685
10,9,-148.30701214670543,22.260640579740105,-199.79619795380137,-126.69271620218068,0.002200883347541094,0.0022237305529415607
11,10,-134.87149291471036,48.25290119378913,-211.33929273454578,-75.13145939327914,0.0022745998576283455,0.002316418569535017
