Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
80	1087.139522075653	1000	82000	-9.40610293086873	-3003.6954181786655	336	82000
81	1100.5408990383148	1000	83000	-9.40610293086873	-3003.3886971820275	337	83000
82	1113.9431161880493	1000	84000	-9.40610293086873	-3003.169527417674	338	84000
83	1127.3314101696014	1000	85000	-9.40610293086873	-3001.659050101974	339	85000
84	1140.7155411243439	1000	86000	-9.40610293086873	-3003.153513347789	340	86000
85	1154.1143090724945	1000	87000	-9.40610293086873	-3004.8511550051485	341	87000
86	1167.517951965332	1000	88000	-9.40610293086873	-3004.616013250752	342	88000
87	1180.9107010364532	1000	89000	-9.40610293086873	-3007.8850897447483	343	89000
88	1194.3012251853943	1000	90000	-9.40610293086873	-3003.216056024484	344	90000
89	1207.6938979625702	1000	91000	-9.40610293086873	-3003.005147812366	345	91000
90	1221.0908710956573	1000	92000	-9.40610293086873	-3004.467909304859	346	92000
91	1234.5041551589966	1000	93000	-9.40610293086873	-3003.8574877616484	347	93000
92	1247.9337232112885	1000	94000	-9.40610293086873	-3003.8000229929903	348	94000
93	1261.4178211688995	1000	95000	-9.40610293086873	-3004.4822524344236	349	95000
94	1274.8565759658813	1000	96000	-9.40610293086873	-3003.8562712236776	350	96000
95	1288.2368421554565	1000	97000	-9.40610293086873	-3005.323305286979	351	97000
96	1301.6297101974487	1000	98000	-9.40610293086873	-3004.7649352406274	352	98000
97	1315.0239663124084	1000	99000	-9.40610293086873	-3002.066374208135	353	99000
98	1328.4269790649414	1000	100000	-9.40610293086873	-3002.9915659337807	354	100000
99	1341.830530166626	1000	101000	-9.40610293086873	-3004.6455900668543	355	101000
100	1355.2244782447815	1000	102000	-9.40610293086873	-3002.0793716098597	356	102000
101	1368.6177101135254	1000	103000	-9.40610293086873	-3004.575793120327	357	103000
102	1382.0047171115875	1000	104000	-9.40610293086873	-3006.7660419913204	358	104000
103	1395.3985693454742	1000	105000	-9.40610293086873	-3005.0685887354293	359	105000
104	1408.7888860702515	1000	106000	-9.40610293086873	-3004.0134255379185	360	106000
105	1422.1959359645844	1000	107000	-9.40610293086873	-3004.13660945955	361	107000
106	1435.580078125	1000	108000	-9.40610293086873	-3005.2882583219825	362	108000
107	1449.018312215805	1000	109000	-9.40610293086873	-3003.587018945927	363	109000
108	1462.4183909893036	1000	110000	-9.40610293086873	-3002.462363243274	364	110000
109	1475.8106281757355	1000	111000	-9.40610293086873	-3002.7526002896134	365	111000
110	1489.1918621063232	1000	112000	-9.40610293086873	-3004.3017806295193	366	112000
