Baseline Loss	Loss	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.7071663	-0.0010026579	10.941513061523438	0	-2.8628266	5.310338	27.00001	-15.076817	19.238003838771593	7.63270158222915	10023	10023
1.5716492	-0.022374125	17.028046131134033	1	1.4504546	24.344059	100.467575	-55.44384	80.368	26.820450704639548	10046	20069
1.155865	-0.013866701	22.84229302406311	2	-18.683922	48.64357	408.09348	-77.466286	107.35106382978724	31.19011963263452	10091	30160
1.1234038	-0.006804062	28.662914037704468	3	-22.98581	19.075497	65.67513	-67.827034	111.23333333333333	29.329942985889957	10011	40171
1.0974848	-0.012282103	34.5595121383667	4	-12.228174	43.074837	286.1997	-56.408607	114.77272727272727	30.768094185937336	10100	50271
1.0074481	-0.010968359	40.34989309310913	5	-4.9739647	53.47711	251.68103	-79.444534	120.86746987951807	30.39093519112667	10032	60303
0.9242568	0.0036127467	46.20445895195007	6	28.45565	100.62938	399.54636	-62.26918	137.2876712328767	46.17016751701738	10022	70325
0.9004337	0.017000413	51.978618144989014	7	17.588974	78.73598	416.2105	-46.976448	132.31578947368422	52.997073038919055	10056	80381
0.8852496	-0.0034121056	57.828559160232544	8	49.162674	107.594215	419.96912	-47.04487	138.1095890410959	48.78877078412238	10082	90463
0.84391195	-0.0040349266	63.856308937072754	9	59.42384	97.70436	357.51602	-64.74992	130.5897435897436	63.77794729742182	10186	100649
0.8108775	-0.004089998	69.7733371257782	10	70.21596	112.695305	548.0398	-52.76211	141.2394366197183	71.02855303440636	10028	110677
0.7647971	-0.010059457	75.70398616790771	11	69.71366	101.36558	400.9204	-46.330727	130.76623376623377	61.7173902756659	10069	120746
0.73044735	-0.04644043	81.64975905418396	12	68.79806	89.86591	319.21844	-65.223694	133.64473684210526	52.905253929565454	10157	130903
0.65298736	-0.015193428	87.58187484741211	13	60.408905	88.97656	294.91248	-36.540165	132.1315789473684	60.30783795295232	10042	140945
0.6227147	0.0066346927	93.57810521125793	14	86.23604	111.218544	398.64957	-66.75999	168.88333333333333	103.86450976579482	10133	151078
0.57236606	-0.0348388	99.48723912239075	15	79.00996	105.301765	350.3071	-41.994896	149.88235294117646	50.94187270275473	10192	161270
0.50685394	0.0017803775	105.32703518867493	16	67.55109	104.43514	327.64404	-52.254673	168.2	66.52914148451539	10092	171362
0.48013377	-0.019445414	111.13476705551147	17	71.86229	112.87949	434.21008	-75.323	170.15254237288136	61.85516531856646	10039	181401
0.40233403	-0.0018501546	117.02617502212524	18	98.71605	120.650444	388.7969	-28.248314	171.15254237288136	64.80186583401931	10098	191499
0.44051936	-0.019701172	122.95618987083435	19	123.729515	127.05484	386.04395	-44.01876	177.7017543859649	67.55140080936957	10129	201628
0.5247659	-0.013221027	128.85196590423584	20	154.77756	127.31965	432.55127	-28.364305	186.59259259259258	73.39909135539065	10076	211704
0.70744216	0.0023490363	134.82671999931335	21	230.84442	151.28526	684.3778	-26.692251	230.0	141.42248117544176	10120	221824
0.7790443	-0.0048028044	140.82317686080933	22	252.8911	133.97998	740.65027	-15.347598	216.10638297872342	114.98274320894123	10157	231981
0.8097445	-0.018899746	146.72479605674744	23	259.19846	116.82489	592.5539	-13.801632	188.88679245283018	73.93410129970243	10011	241992
0.7439128	-0.01203781	152.7041609287262	24	281.84262	128.2026	830.25574	-15.850027	194.1346153846154	105.27400673519956	10095	252087
0.5391696	0.017659726	158.69382190704346	25	254.6483	87.375175	484.13834	38.60025	177.19298245614036	81.96671095719311	10100	262187
0.54663396	-0.039725747	164.70634698867798	26	257.7573	86.87581	465.53687	15.772797	174.5	61.445027295220115	10121	272308
0.69876164	-0.019116076	170.74556016921997	27	278.95032	87.94885	518.8582	6.025835	187.2962962962963	66.62349425152196	10114	282422
0.70439416	0.0057364013	176.7539041042328	28	236.55214	99.115265	466.45377	2.9358292	172.9655172413793	60.09962003358039	10032	292454
0.649935	-0.016740263	182.8571901321411	29	248.9766	98.567	486.48907	10.210377	184.6	68.09287774797008	10153	302607
0.47063428	0.0047778077	188.87854099273682	30	225.38133	88.352036	341.47858	20.11895	167.51666666666668	36.83001116239611	10051	312658
0.373074	0.009389994	194.89635610580444	31	238.27466	101.68005	393.16516	6.8941283	189.30188679245282	61.8057165658129	10033	322691
0.37141135	-0.024848517	200.94944095611572	32	270.79144	123.99197	557.5481	-5.7142463	205.73469387755102	77.40083201319518	10081	332772
0.32488534	0.017850932	206.97831392288208	33	227.27237	107.1119	428.99768	2.7529182	194.96153846153845	61.40031368576271	10138	342910
0.30565003	-0.000458411	212.97641110420227	34	212.04636	122.74102	438.6177	-27.129776	187.4814814814815	54.62116695280955	10124	353034
0.31792122	0.01703914	218.94280815124512	35	211.00124	128.40738	543.0492	-36.372677	193.78846153846155	68.59562010531822	10077	363111
0.27606344	-0.0018331576	224.85638117790222	36	184.27835	143.03033	403.81476	-63.7096	185.42592592592592	61.44663503786024	10013	373124
0.28039327	0.0053402646	230.80533289909363	37	199.30286	134.87494	486.76654	-24.691631	197.2941176470588	75.95078233926853	10062	383186
0.4858133	-0.012626424	236.86056208610535	38	258.35306	113.07554	540.9186	8.982578	211.54166666666666	90.2177824150477	10154	393340
0.5901125	-0.019994058	242.88166403770447	39	246.48271	94.586365	424.3878	12.849556	184.65454545454546	46.6270378767194	10156	403496
0.38916573	0.011364575	248.97932314872742	40	263.28253	112.912476	573.4248	27.99083	213.61702127659575	80.65095617258818	10040	413536
0.25697076	-0.02780335	255.23093914985657	41	311.97098	210.64621	1010.442	5.854183	285.77142857142854	165.8221225486232	10002	423538
0.38687333	-0.015474283	262.02458906173706	42	462.9293	294.3629	1043.5461	85.12857	423.32	307.3677562790216	10583	434121
0.2804813	-0.020417161	268.76861000061035	43	368.24045	216.47955	957.72156	28.554726	315.6363636363636	181.70135640690796	10416	444537
0.26636994	0.0011367411	275.1363151073456	44	346.20453	202.25262	788.8458	22.663528	305.45454545454544	146.85410011900615	10080	454617
0.24558617	0.018610673	281.58193826675415	45	263.86255	161.44469	686.9507	40.021618	250.6341463414634	94.26267297798314	10276	464893
0.22183432	-0.010264108	288.0509250164032	46	231.28613	132.68854	627.92755	35.831413	244.61904761904762	85.47178659566485	10274	475167
0.14499882	-0.0073490636	294.4489860534668	47	250.11646	120.210075	488.96176	48.447784	235.5581395348837	63.541710280538396	10129	485296
0.18614125	-0.030803183	300.73050904273987	48	229.05302	121.47755	487.48724	26.547338	219.93478260869566	56.946352394509844	10117	495413
0.23435703	-0.012587438	307.0567719936371	49	236.35434	146.67036	637.6869	11.324875	230.6590909090909	75.95690859171349	10149	505562
0.16980319	-0.021315262	313.39471888542175	50	215.99318	115.35194	431.6186	46.145134	220.82608695652175	71.60984397590396	10158	515720
0.14408307	-0.039330196	319.8280580043793	51	216.889	119.114365	506.6733	29.136572	214.85106382978722	64.62756763849515	10098	525818
0.16936503	0.03897311	326.11562418937683	52	230.90681	131.45757	540.1484	-1.7498913	206.0	84.84391431280365	10094	535912
0.18949078	0.007638202	332.2917411327362	53	238.65791	124.99517	633.1734	10.67379	209.22916666666666	72.78771633528254	10043	545955
0.29998598	0.016365536	338.54018092155457	54	273.53094	125.997215	587.86487	14.820514	215.72340425531914	73.63241137863353	10139	556094
0.3171753	0.019911088	344.6615059375763	55	252.79402	129.95615	532.86865	-36.519604	192.3846153846154	70.13836705074034	10004	566098
0.3818407	-0.0008110715	350.94139409065247	56	279.4357	126.0157	619.49585	-28.72785	219.68085106382978	95.31450881563127	10325	576423
0.37090635	-0.0043591387	357.1139781475067	57	287.92548	121.634605	537.7831	40.511047	235.48837209302326	92.45523670957928	10126	586549
0.36621723	0.01445156	363.2268500328064	58	231.362	162.04587	624.0958	-30.53244	214.0	99.0151503558925	10058	596607
0.30760676	-0.0016123628	369.4471778869629	59	217.5015	153.51517	533.6226	-30.193853	195.42307692307693	82.96694108866174	10162	606769
0.3039488	-0.020670734	375.7357361316681	60	237.26094	132.21301	505.71805	-8.457965	214.22916666666666	69.82753742356155	10283	617052
0.27418783	-0.025162132	382.01014614105225	61	251.33055	118.922905	463.3954	-19.229053	198.11764705882354	59.58143119700361	10104	627156
0.20971964	-0.0032973061	388.1581380367279	62	228.6845	134.43158	435.4235	-41.499054	203.68	60.84322147947131	10184	637340
0.20703745	0.0072385035	394.1741681098938	63	216.50693	146.50513	539.76965	-33.862988	217.43478260869566	70.72471192678451	10002	647342
0.19919686	0.01923302	400.2641031742096	64	189.56792	122.0705	393.6751	6.425392	206.9591836734694	61.90907064320252	10141	657483
0.13798614	-0.0027988693	406.4841091632843	65	202.427	130.54204	541.49426	29.632744	233.3181818181818	67.83729623393447	10266	667749
0.14146261	-0.012098618	412.81350922584534	66	224.17758	134.8354	486.3864	26.839695	222.19565217391303	62.601090268744834	10221	677970
0.10175551	-0.004808611	418.9780580997467	67	197.29878	123.31701	438.95438	26.763298	228.79545454545453	59.504231914230104	10067	688037
0.09498197	0.0046619754	425.17610216140747	68	161.5142	108.54177	477.03833	28.972523	227.47727272727272	67.51312621071402	10009	698046
0.095483296	0.017797042	431.3850049972534	69	169.27419	116.06259	496.1607	47.007713	213.3404255319149	55.67583860234385	10027	708073
0.10094113	0.015556373	437.6870219707489	70	123.40708	97.46125	436.3508	18.281986	215.93617021276594	66.11511696817686	10149	718222
