,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-166.91751296985836,33.30296755562855,-225.80102562928343,-114.2161897191694,,
1,0,-276.202947633134,147.80336753287634,-555.2649121981483,-97.67235808774734,13.575302124023438,0.12409977614879608
2,1,-190.70703431023452,62.67329474473222,-270.8099728013528,-66.0913484281048,11.612203598022461,0.0687943547964096
3,2,-77.95873862306762,12.393281520787674,-106.61316866273384,-56.16158967479532,0.15227457880973816,0.041258394718170166
4,3,-69.80836997520248,19.40529114104157,-86.60994896838794,-16.808923075760184,0.04392915964126587,0.010592939332127571
5,4,-21.15299156389819,18.51154013744102,-41.67443544343441,26.43818615596852,0.022768158465623856,0.020496133714914322
6,5,-3.811629934443647,27.95179933707634,-34.5470218569959,44.28818699465441,0.021617602556943893,0.02510143257677555
7,6,57.35724825553418,20.454545204752556,27.192357282760714,88.70622986168871,0.012369079515337944,0.013974538072943687
8,7,77.39210339163981,40.128324241273546,8.960287799444853,142.51112332471936,0.009276446886360645,0.009771068580448627
9,8,129.80377008205105,42.30345496907209,61.67996656728248,206.4622163285004,0.010733474977314472,0.009328016079962254
10,9,69.6252013742723,32.76757981846874,29.33635609976044,130.15454476773357,0.010186085477471352,0.008222597651183605
11,10,177.57354652002994,45.179768720278666,113.56453595234724,253.3290096136896,0.0093534542247653,0.008045000024139881
