Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.513291835784912	0	19.207546	8.503847	41.0	9.0	19.20754716981132	8.503847055206311	1018	1018
3.2743937969207764	1	18.526316	8.930738	61.0	8.0	18.526315789473685	8.930737898351342	1056	2074
3.754041910171509	2	16.716667	7.1252875	42.0	9.0	16.716666666666665	7.125287518565284	1003	3077
4.332808971405029	3	14.671429	5.561915	35.0	9.0	14.67142857142857	5.56191495432856	1027	4104
4.842446804046631	4	13.554054	4.350029	34.0	8.0	13.554054054054054	4.35002917632928	1003	5107
5.313481092453003	5	14.352113	6.426395	35.0	8.0	14.352112676056338	6.426394936091934	1019	6126
5.784230947494507	6	11.988095	3.746408	26.0	8.0	11.988095238095237	3.7464079546090914	1007	7133
6.272511005401611	7	11.916667	4.149608	27.0	8.0	11.916666666666666	4.149607937112376	1001	8134
6.759302854537964	8	11.597701	4.28432	36.0	8.0	11.597701149425287	4.284319901003729	1009	9143
7.231050968170166	9	10.702127	3.426523	32.0	8.0	10.702127659574469	3.4265229173101948	1006	10149
7.695452928543091	10	10.880435	2.9260538	24.0	8.0	10.880434782608695	2.9260538469604263	1001	11150
8.16065001487732	11	9.8529415	1.9773079	24.0	8.0	9.852941176470589	1.9773078292066095	1005	12155
8.625216007232666	12	10.214286	2.5882385	24.0	8.0	10.214285714285714	2.5882387045704913	1001	13156
9.090955018997192	13	10.05	2.699537	26.0	8.0	10.05	2.699536997338618	1005	14161
9.562533855438232	14	9.776699	1.1569296	15.0	8.0	9.776699029126213	1.1569296395934936	1007	15168
10.0417959690094	15	9.571428	1.0942024	14.0	8.0	9.571428571428571	1.0942024088643865	1005	16173
10.506797790527344	16	9.401869	0.87391925	12.0	8.0	9.401869158878505	0.8739192319671745	1006	17179
10.96882700920105	17	9.625	1.6938094	22.0	8.0	9.625	1.6938094298401414	1001	18180
11.434711933135986	18	9.383178	0.98250926	15.0	8.0	9.383177570093459	0.9825092785758076	1004	19184
11.90135407447815	19	9.5	1.6440287	24.0	8.0	9.5	1.6440286459424134	1007	20191
12.386323928833008	20	9.509434	1.0116798	16.0	8.0	9.50943396226415	1.0116797447890196	1008	21199
12.860365867614746	21	9.420561	0.80926156	12.0	8.0	9.42056074766355	0.8092616131136172	1008	22207
13.327438831329346	22	9.373832	0.9621177	14.0	8.0	9.373831775700934	0.9621176457294346	1003	23210
13.79456377029419	23	9.277778	0.69166106	11.0	8.0	9.277777777777779	0.6916610887771517	1002	24212
14.266960859298706	24	9.333333	0.74535596	11.0	8.0	9.333333333333334	0.7453559924999299	1008	25220
14.731567859649658	25	9.333333	0.6666667	11.0	8.0	9.333333333333334	0.6666666666666667	1008	26228
15.195144891738892	26	9.4811325	0.80366075	11.0	8.0	9.481132075471699	0.8036606351678138	1005	27233
15.663670063018799	27	9.324074	0.8479682	11.0	8.0	9.324074074074074	0.8479682002216271	1007	28240
16.1333110332489	28	9.392524	0.87281907	13.0	8.0	9.392523364485982	0.8728191443820966	1005	29245
16.607990026474	29	9.247706	0.70588565	11.0	8.0	9.247706422018348	0.7058856536393154	1008	30253
17.074273824691772	30	9.373832	0.7676078	12.0	8.0	9.373831775700934	0.7676078205002269	1003	31256
17.53382396697998	31	9.373832	0.7553345	11.0	8.0	9.373831775700934	0.7553344804178224	1003	32259
18.000253915786743	32	9.411215	0.7228354	11.0	8.0	9.411214953271028	0.7228354219689536	1007	33266
18.46199893951416	33	9.35514	0.82317305	11.0	8.0	9.355140186915888	0.8231729863123288	1001	34267
18.927515029907227	34	9.277778	0.73071927	11.0	8.0	9.277777777777779	0.7307192465536613	1002	35269
19.39233112335205	35	9.277778	0.70492095	11.0	8.0	9.277777777777779	0.7049209744694177	1002	36271
19.855921983718872	36	9.268518	0.7888867	11.0	8.0	9.268518518518519	0.7888867153508571	1001	37272
20.320887804031372	37	9.443397	0.71480554	12.0	8.0	9.443396226415095	0.714805537340174	1001	38273
20.786309957504272	38	9.305555	0.7259519	11.0	8.0	9.305555555555555	0.7259519080762211	1005	39278
21.250711917877197	39	9.333333	0.7576768	11.0	8.0	9.333333333333334	0.7576767609436587	1008	40286
21.719441890716553	40	9.429907	0.72488666	11.0	8.0	9.429906542056075	0.7248867076510398	1009	41295
22.19071388244629	41	9.420561	0.7616679	11.0	8.0	9.42056074766355	0.7616679088152968	1008	42303
22.708709001541138	42	9.364486	0.7023661	11.0	8.0	9.36448598130841	0.7023661393665771	1002	43305
23.171884775161743	43	9.542857	0.76877856	12.0	8.0	9.542857142857143	0.7687785169756407	1002	44307
23.638041973114014	44	9.552381	0.8278595	11.0	8.0	9.552380952380952	0.8278595737943135	1003	45310
24.105690956115723	45	9.268518	0.727839	11.0	8.0	9.268518518518519	0.7278390323859197	1001	46311
24.57017707824707	46	9.268518	0.76505244	11.0	8.0	9.268518518518519	0.7650524247527273	1001	47312
25.03389286994934	47	9.277778	0.70492095	11.0	8.0	9.277777777777779	0.7049209744694177	1002	48314
25.502728939056396	48	9.247706	0.75608796	11.0	8.0	9.247706422018348	0.7560879918545511	1008	49322
25.968021154403687	49	9.268518	0.7528523	11.0	8.0	9.268518518518519	0.752852372050131	1001	50323
26.44371795654297	50	9.342592	0.6960476	11.0	8.0	9.342592592592593	0.6960475323945469	1009	51332
26.91694188117981	51	9.443397	0.77800167	11.0	8.0	9.443396226415095	0.7780016573592143	1001	52333
27.383651971817017	52	9.342592	0.72216296	11.0	8.0	9.342592592592593	0.7221628655570533	1009	53342
