,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-141.84737045537653,25.68031060635927,-193.7320325249737,-102.22615963592659,,
1,0,-7.68135937089672,130.86929848817127,-341.9446445573618,140.03068311545127,15.87403392791748,0.1642424613237381
2,1,-107.20410929194236,30.727055644695586,-171.0340286162737,-59.91612151931988,26.54034423828125,0.074076347053051
3,2,-16.501387446293418,16.747889114804124,-55.75288032099343,6.447481928756751,0.0608113631606102,0.030588988214731216
4,3,-12.524074718689901,15.08910114896649,-38.300349108390535,13.325688825641127,0.036807574331760406,0.01276234071701765
5,4,69.28927408538019,25.54745598809391,41.92199152017227,122.06019646563443,0.023729588836431503,0.016875583678483963
6,5,93.01242424020657,33.58165663532902,50.243047805873815,151.19011559970818,0.016423670575022697,0.012979314662516117
7,6,114.65337826435282,16.456545372122367,86.27420830564306,139.6652740844313,0.0175991952419281,0.009357555769383907
8,7,112.49180911559112,25.194411944348836,74.44793349865402,170.6290993288023,0.015872716903686523,0.00638237688690424
9,8,154.73487471576675,28.19156901963782,114.20235317665768,202.01108596549173,0.01020999439060688,0.009443413466215134
10,9,225.27466609511384,30.57642268488527,179.34010939477074,300.44550487662383,0.007257974706590176,0.006951421964913607
11,10,234.24757637736403,47.29647016659603,177.91787794565133,320.8887723901847,0.006566538475453854,0.0070531112141907215
