Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
403.76953887939453	0	-3060.8838218011097	-152.9470219202121	3403.3907981922234	-87.82636556846944	-16426.363942375712	20.0	0.0	1100	10100	-155.11705123617688	-8.849931563918528
805.3537209033966	1	-3232.507008294469	-162.71554761931964	3696.1768957615122	-48.03102406608717	-17884.22337152971	20.0	0.0	1100	20200	-210.66373735068717	-13.660422301200601
1206.9686379432678	2	-2686.3200458268593	-139.5332422930754	2697.63863055909	-72.53737708587917	-12887.004075203567	20.0	0.0	1100	30300	-153.55612401283122	-8.52412324977398
1607.6800546646118	3	-2680.0502306952208	-134.024032885658	2840.792200197465	-46.48568093515623	-13957.09737123322	20.0	0.0	1100	40400	-179.3021312648834	-9.45833534966503
2010.966582775116	4	-2381.1791846996193	-119.44649890502251	2839.3318250426214	-72.01279265329698	-14303.99803988829	20.0	0.0	1100	50500	-167.96419870037164	-9.251473998695234
2411.2893209457397	5	-2578.139821623197	-130.22389273851422	2936.6367457586807	-86.29024320386588	-12215.978363389328	20.0	0.0	1100	60600	-193.03865854322493	-10.84105992538211
2812.514283657074	6	-2697.023560828986	-136.0200992621965	3201.966668151434	-62.841811474803656	-15719.01137769099	20.0	0.0	1100	70700	-153.1906910422358	-9.165373544725298
3214.476449728012	7	-2937.1945963643116	-146.58359008423832	3309.4716824119714	-92.08798552974491	-13828.0989670196	20.0	0.0	1100	80800	-157.35542400542104	-8.529604475911482
3615.1152477264404	8	-2529.699434830633	-125.31766418292816	2700.6337136798006	-62.76749666043911	-14065.702967318131	20.0	0.0	1100	90900	-147.48753707204045	-8.732396432842451
4015.490603685379	9	-2547.427993084413	-126.01672403745592	2696.930731036975	-46.008856473905745	-14230.095140475598	20.0	0.0	1100	101000	-178.49561327705345	-9.415348605752028
4416.153176784515	10	-2827.750923090366	-141.02986421021265	3392.6389312779115	-118.31825700748327	-16314.960485102858	20.0	0.0	1100	111100	-165.3239717063648	-8.916415384329229
4817.527338981628	11	-2763.2249336625027	-137.54489377520437	3130.5884549735647	-39.75313409419542	-14405.1568322526	20.0	0.0	1100	121200	-156.5745869537702	-9.579975185816368
5219.251802921295	12	-2577.168902960058	-127.5178570072883	2665.4810341055136	-34.01296332496405	-14030.910283431806	20.0	0.0	1100	131300	-180.19043016799623	-9.415375859442198
5619.930462837219	13	-2494.7792020438983	-124.03282315806798	2749.8104282128293	-58.05260592491267	-12302.022118575156	20.0	0.0	1100	141400	-173.62362922696138	-9.566850031535395
6019.832683801651	14	-2616.0702118518598	-131.60405241459486	3069.3365329383937	-61.97676347201934	-14447.29047875739	20.0	0.0	1100	151500	-184.6071369316156	-10.495983605007801
6420.179353713989	15	-2954.217703573997	-149.1885709444367	2899.722768249064	-134.02433365691658	-14606.494527551411	20.0	0.0	1100	161600	-167.93880188296222	-9.76091230448543
6821.61115193367	16	-3267.143215674648	-162.57755685557655	3296.053929338365	-67.51921396297854	-17801.390924971387	20.0	0.0	1100	171700	-169.55560276326017	-9.158500933297143
7221.958660840988	17	-2371.8372940437202	-117.86177986437005	2927.952984996767	-62.41579771676199	-14177.864093299031	20.0	0.0	1100	181800	-189.7279728216812	-10.516074043605515
7622.783711910248	18	-2737.965636127098	-135.88682695450035	2995.4341556831087	-45.251849932505074	-14487.717803060972	20.0	0.0	1100	191900	-163.58312979534998	-8.91124392217164
8023.447957038879	19	-2278.5283907449634	-112.57364618008977	2523.7142388214897	-69.63725872006442	-11373.29402715463	20.0	0.0	1100	202000	-186.131809377827	-11.454015802454103
8424.048863887787	20	-2676.5909149693107	-132.4453839300197	2751.9893947155606	-88.82400248295443	-13388.178970386012	20.0	0.0	1100	212100	-176.53964297239557	-9.546371394858898
8825.430932998657	21	-2279.36115847189	-113.84887508561717	2954.9059074710976	-42.22972948427186	-15104.88869802829	20.0	0.0	1100	222200	-184.53242646985774	-11.295265298165972
9226.482539653778	22	-2504.448890294919	-124.0016278502998	2569.3656015514766	-86.50378203145607	-13182.152537216587	20.0	0.0	1100	232300	-143.56168947908202	-8.080114263538663
9627.24722480774	23	-2575.1097603485987	-127.63424347685391	2694.7207671681304	-59.80348973006715	-13052.959791217643	20.0	0.0	1100	242400	-174.09383461720765	-9.408922879808243
10028.004928827286	24	-2443.932211924235	-120.68015422504955	2492.131981530845	-54.009758539202025	-10061.285155268852	20.0	0.0	1100	252500	-181.0158052507436	-10.071692052527757
10429.537826776505	25	-2505.6099155268134	-124.35858558974358	2560.1838503423514	-56.99119414212602	-11665.154144055638	20.0	0.0	1100	262600	-177.2414546270768	-10.212313386250976
10829.648171663284	26	-3189.692681035136	-158.65092474563738	2647.1729318652783	-108.10145082120788	-10753.118381325781	20.0	0.0	1100	272700	-188.147508968904	-10.444541657652788
11230.227590799332	27	-3204.9308739291205	-159.09869220480985	3567.7140488711198	-74.01609118609699	-17865.963482134517	20.0	0.0	1100	282800	-201.04680839327548	-11.18090866605205
11630.61260175705	28	-2220.3581133885054	-109.90525618508097	2547.895872009222	-66.28123454644712	-13861.247681061264	20.0	0.0	1100	292900	-194.95690992839093	-10.836444277929063
12031.135185956955	29	-2513.505851071223	-124.09063054784107	3029.392502129719	-77.98403687471944	-12578.160527086617	20.0	0.0	1100	303000	-150.99881237642327	-8.31971456040141
12432.341334819794	30	-2538.2431546880953	-125.8910058633911	2814.8562916198152	-66.03788339017085	-13800.253902393055	20.0	0.0	1100	313100	-139.85978520177122	-7.899669378063462
